2025-09-14 14:02:45,698 [INFO] 16,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 19.09 min
2025-09-14 14:02:52,616 [INFO] 16,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 19.21 min
2025-09-14 14:02:59,542 [INFO] 16,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 19.32 min
2025-09-14 14:03:06,465 [INFO] 16,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 19.44 min
2025-09-14 14:03:13,419 [INFO] 16,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 19.56 min
2025-09-14 14:03:20,336 [INFO] 16,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 19.67 min
2025-09-14 14:03:27,262 [INFO] 17,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 19.79 min
2025-09-14 14:03:34,225 [INFO] 17,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 19.90 min
2025-09-14 14:03:41,155 [INFO] 17,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 20.02 min
2025-09-14 14:03:48,103 [INFO] 17,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 20.13 min
2025-09-14 14:03:55,030 [INFO] 17,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 20.25 min
2025-09-14 14:04:01,927 [INFO] 17,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 20.36 min
2025-09-14 14:04:08,864 [INFO] 17,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 20.48 min
2025-09-14 14:04:15,835 [INFO] 17,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 20.60 min
2025-09-14 14:04:22,978 [INFO] 17,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 20.72 min
2025-09-14 14:04:30,211 [INFO] 17,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 20.84 min
2025-09-14 14:04:37,111 [INFO] 18,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 20.95 min
2025-09-14 14:04:44,018 [INFO] 18,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 21.07 min
2025-09-14 14:04:50,967 [INFO] 18,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 21.18 min
2025-09-14 14:04:57,889 [INFO] 18,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 21.30 min
2025-09-14 14:05:04,795 [INFO] 18,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 21.41 min
2025-09-14 14:05:11,674 [INFO] 18,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 21.53 min
2025-09-14 14:05:18,538 [INFO] 18,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 21.64 min
2025-09-14 14:05:25,480 [INFO] 18,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 21.76 min
2025-09-14 14:05:32,329 [INFO] 18,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 21.87 min
2025-09-14 14:05:39,127 [INFO] 18,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 21.98 min
2025-09-14 14:05:45,929 [INFO] 19,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 22.10 min
